"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_"
"154_",1,0.608128230433824,-0.293215015866179,0.763153599787265,-0.369685435080568,0.00146022097638637,-0.0682264189706815,0.010934483889715,0.00254528805949574,-0.0345372277980546
"176_",0.608128230433824,1,0.761471791754444,-0.509762472304404,0.522992538950867,-0.356881183680078,0.571410133344953,-0.429097598894132,-0.0553744235268077,-0.0663286378946639
"189_",-0.293215015866179,0.761471791754445,1,0.1820436831083,-0.496917920856613,0.493500724726811,-0.47094774659159,0.586568325692607,-0.144917796652071,-0.0749503534189326
"182_",0.763153599787264,-0.509762472304404,0.182043683108299,1,0.525392021263019,-0.238497476643455,-0.0108756283696125,-0.0758829696162248,0.0195232942686951,-0.0644133940540701
"195_",-0.369685435080567,0.522992538950867,-0.496917920856613,0.52539202126302,1,0.61838439654272,-0.265859287633921,-0.0297648513968208,-0.144441571010205,-0.0694318589959479
"199_",0.00146022097638542,-0.356881183680078,0.493500724726811,-0.238497476643455,0.618384396542719,1,-0.0524806540465577,-0.128742458037471,0.0695177067212505,0.289481399544593
"190_",-0.068226418970681,0.571410133344954,-0.47094774659159,-0.010875628369612,-0.265859287633921,-0.0524806540465581,1,0.398603068678986,0.0969387000662501,0.0448960233240502
"197_",0.0109344838897149,-0.429097598894132,0.586568325692606,-0.075882969616224,-0.0297648513968187,-0.128742458037471,0.398603068678984,1,-0.187328209446623,0.119153823050518
"200_",0.00254528805949465,-0.0553744235268074,-0.144917796652071,0.0195232942686955,-0.144441571010205,0.0695177067212513,0.0969387000662529,-0.187328209446619,1,0.46100717433353
"201_",-0.034537227798055,-0.0663286378946637,-0.0749503534189322,-0.0644133940540682,-0.0694318589959455,0.289481399544593,0.0448960233240491,0.119153823050518,0.461007174333529,1
